Project_ID,Site_Location,Material_Type,Vendor_Name,Order_Date,Promised_Delivery_Date,Actual_Delivery_Date,Estimated_Cost_INR,Actual_Cost_INR,Quantity_Ordered_Tons,Quality_Pass
PRJ-001,Hyderabad,Cement,Apex Supplies,2024-05-20,2024-05-27,2024-05-28,139421.07,146191.29,18.1,Yes
PRJ-002,Mumbai,Tiles,BuildCorp,2024-10-29,2024-11-11,2024-11-14,335920.86,360268.26,9.8,Yes
PRJ-003,Pune,Steel,Apex Supplies,2024-10-14,2024-10-27,2024-11-02,272457.35,282835.03,4.3,Yes
PRJ-004,Bengaluru,Heavy Equipment,Shree Cement Co,2024-01-04,2024-01-28,2024-01-26,655583.67,680228.89,4.5,Yes
PRJ-005,Delhi,Sand,UltraTech Supply,2024-04-20,2024-05-02,2024-05-04,91276.92,90779.1,51.6,Yes
PRJ-006,Bengaluru,Cement,JSW Steel Traders,2024-06-25,2024-07-05,2024-07-08,84495.76,88887.89,11.4,Yes
PRJ-007,Hyderabad,Bricks,BuildCorp,2024-07-12,2024-07-18,2024-07-29,154045.9,170828.93,24.0,Yes
PRJ-008,Hyderabad,Heavy Equipment,JSW Steel Traders,2024-10-22,2024-11-10,2024-11-10,251819.81,261718.58,1.7,Yes
PRJ-009,Pune,Wood,Shree Cement Co,2024-02-10,2024-02-26,2024-02-25,248988.66,243006.43,5.1,Yes
PRJ-010,Bengaluru,Sand,Bharat Building Materials,2024-11-21,2024-12-03,2024-12-05,64616.31,64210.26,35.7,Yes
PRJ-011,Delhi,Steel,Shree Cement Co,2024-11-27,2024-12-09,2024-12-14,996699.34,962018.32,16.4,Yes
PRJ-012,Chennai,Tiles,Metro Infra,2024-03-24,2024-04-06,2024-04-12,514482.93,558045.12,14.3,Yes
PRJ-013,Hyderabad,Tiles,Metro Infra,2024-06-15,2024-07-01,2024-07-01,204930.67,220246.91,6.0,Yes
PRJ-014,Mumbai,Wood,JSW Steel Traders,2024-07-24,2024-08-05,2024-08-05,234557.35,246194.71,5.0,Yes
PRJ-015,Chennai,Tiles,JSW Steel Traders,2024-04-18,2024-05-03,2024-05-09,86062.97,88705.31,2.4,Yes
PRJ-016,Hyderabad,Bricks,UltraTech Supply,2024-05-15,2024-05-22,2024-05-22,208863.44,213376.03,32.5,Yes
PRJ-017,Chennai,Sand,Konkan Aggregates,2024-10-25,2024-11-03,2024-11-09,65870.47,70979.83,37.3,Yes
PRJ-018,Pune,Heavy Equipment,Bharat Building Materials,2024-02-16,2024-03-11,2024-03-08,754381.9,800841.41,4.9,Yes
PRJ-019,Pune,Tiles,UltraTech Supply,2024-08-04,2024-08-18,2024-08-16,351682.17,347138.23,9.8,Yes
PRJ-020,Chennai,Bricks,Shree Cement Co,2024-10-10,2024-10-22,2024-10-18,96736.37,95384.62,15.3,Yes
PRJ-021,Mumbai,Tiles,Shree Cement Co,2024-11-24,2024-12-06,2024-12-03,245090.81,251536.45,7.1,Yes
PRJ-022,Pune,Bricks,Apex Supplies,2024-05-14,2024-05-24,2024-05-24,135988.77,140532.93,21.2,Yes
PRJ-023,Mumbai,Wood,Shree Cement Co,2024-11-23,2024-12-07,2024-12-12,112401.75,108576.05,2.3,Yes
PRJ-024,Delhi,Wood,UltraTech Supply,2024-10-03,2024-10-19,2024-10-24,482962.24,480980.77,9.9,Yes
PRJ-025,Chennai,Sand,Bharat Building Materials,2024-01-10,2024-01-16,2024-01-18,18890.92,19770.27,10.3,Yes
PRJ-026,Delhi,Steel,Apex Supplies,2024-05-03,2024-05-19,2024-05-18,1197173.39,1192293.2,19.0,Yes
PRJ-027,Bengaluru,Wood,BuildCorp,2024-09-29,2024-10-15,2024-10-20,196953.55,222370.07,4.2,Yes
PRJ-028,Bengaluru,Heavy Equipment,UltraTech Supply,2024-05-15,2024-06-06,2024-06-12,608760.14,599680.28,4.1,Yes
PRJ-029,Pune,Heavy Equipment,Metro Infra,2024-06-08,2024-06-29,2024-07-04,385909.29,416152.42,2.6,Yes
PRJ-030,Chennai,Bricks,BuildCorp,2024-05-06,2024-05-13,2024-05-17,210172.01,230722.04,31.6,Yes
