Project_ID,Site_Location,Material_Type,Vendor_Name,Order_Date,Promised_Delivery_Date,Actual_Delivery_Date,Estimated_Cost_INR,Actual_Cost_INR,Quantity_Ordered_Tons,Quality_Pass,Delivery_Delay_Days,Cost_Variance_INR,Cost_Variance_Pct
PRJ-001,Hyderabad,Cement,Apex Supplies,2024-05-20,2024-05-27,2024-05-28,139421.07,146191.29,18.1,Yes,1,6770.220000000001,4.86
PRJ-002,Mumbai,Tiles,BuildCorp,2024-10-29,2024-11-11,2024-11-14,335920.86,360268.26,9.8,Yes,3,24347.400000000023,7.25
PRJ-003,Pune,Steel,Apex Supplies,2024-10-14,2024-10-27,2024-11-02,272457.35,282835.03,4.3,Yes,6,10377.680000000051,3.81
PRJ-004,Bengaluru,Heavy Equipment,Shree Cement Co,2024-01-04,2024-01-28,2024-01-26,655583.67,680228.89,4.5,Yes,-2,24645.219999999972,3.76
PRJ-005,Delhi,Sand,UltraTech Supply,2024-04-20,2024-05-02,2024-05-04,91276.92,90779.1,51.6,Yes,2,-497.81999999999243,-0.55
PRJ-006,Bengaluru,Cement,JSW Steel Traders,2024-06-25,2024-07-05,2024-07-08,84495.76,88887.89,11.4,Yes,3,4392.130000000005,5.2
PRJ-007,Hyderabad,Bricks,BuildCorp,2024-07-12,2024-07-18,2024-07-29,154045.9,170828.93,24.0,Yes,11,16783.03,10.89
PRJ-008,Hyderabad,Heavy Equipment,JSW Steel Traders,2024-10-22,2024-11-10,2024-11-10,251819.81,261718.58,1.7,Yes,0,9898.76999999999,3.93
PRJ-009,Pune,Wood,Shree Cement Co,2024-02-10,2024-02-26,2024-02-25,248988.66,243006.43,5.1,Yes,-1,-5982.2300000000105,-2.4
PRJ-010,Bengaluru,Sand,Bharat Building Materials,2024-11-21,2024-12-03,2024-12-05,64616.31,64210.26,35.7,Yes,2,-406.04999999999563,-0.63
PRJ-011,Delhi,Steel,Shree Cement Co,2024-11-27,2024-12-09,2024-12-14,996699.34,962018.32,16.4,Yes,5,-34681.02000000002,-3.48
PRJ-012,Chennai,Tiles,Metro Infra,2024-03-24,2024-04-06,2024-04-12,514482.93,558045.12,14.3,Yes,6,43562.19,8.47
PRJ-013,Hyderabad,Tiles,Metro Infra,2024-06-15,2024-07-01,2024-07-01,204930.67,220246.91,6.0,Yes,0,15316.23999999999,7.47
PRJ-014,Mumbai,Wood,JSW Steel Traders,2024-07-24,2024-08-05,2024-08-05,234557.35,246194.71,5.0,Yes,0,11637.359999999986,4.96
PRJ-015,Chennai,Tiles,JSW Steel Traders,2024-04-18,2024-05-03,2024-05-09,86062.97,88705.31,2.4,Yes,6,2642.3399999999965,3.07
PRJ-016,Hyderabad,Bricks,UltraTech Supply,2024-05-15,2024-05-22,2024-05-22,208863.44,213376.03,32.5,Yes,0,4512.5899999999965,2.16
PRJ-017,Chennai,Sand,Konkan Aggregates,2024-10-25,2024-11-03,2024-11-09,65870.47,70979.83,37.3,Yes,6,5109.360000000001,7.76
PRJ-018,Pune,Heavy Equipment,Bharat Building Materials,2024-02-16,2024-03-11,2024-03-08,754381.9,800841.41,4.9,Yes,-3,46459.51000000001,6.16
PRJ-019,Pune,Tiles,UltraTech Supply,2024-08-04,2024-08-18,2024-08-16,351682.17,347138.23,9.8,Yes,-2,-4543.940000000002,-1.29
PRJ-020,Chennai,Bricks,Shree Cement Co,2024-10-10,2024-10-22,2024-10-18,96736.37,95384.62,15.3,Yes,-4,-1351.75,-1.4
